NO_x,Student ID,Ages (Years)_x,Gender_x,Grade_x,Speed_C,Number Stroke_C,Mean Pressure_C,Mean Altitude_C,Modulus Altitude_C,Mean Azimuth_C,Modulus Azimuth_C,Label Emotion_x,NO_y,Ages (Years)_y,Gender_y,Grade_y,Speed_B,Number Stroke_B,Mean Pressure_B,Mean Altitude_B,Modulus Altitude_B,Mean Azimuth_B,Modulus Azimuth_B,Label Emotion_y
,,,,,Speed,Number Stroke,Mean Pressure,Mean Altitude,Modulus Altitude,Mean Azimuth,Modulus Azimuth,,,,,,Speed (Detik),Number Stroke,Mean Pressure,Mean Altitude,Modulus Altitude,Mean Azimuth,Modulus Azimuth,
1.0,10001.0,7.083333333333333,Boys,1.0,165,28,474,1467,1520,579,600,positif,1.0,7.083333333333333,Boys,1.0,87,28,474,1467,1520,579,600,positif
2.0,10002.0,6.75,Boys,1.0,82,25,285,936,900,470,460,,2.0,6.75,Boys,1.0,106,36,224,1098,1090,446,440,
3.0,10003.0,6.416666666666667,Boys,1.0,155,44,302,1160,1220,468,460,negatif,3.0,6.416666666666667,Boys,1.0,116,50,318,1235,1240,501,480,negatif
4.0,10004.0,6.166666666666667,Boys,1.0,128,89,240,1102,1080,559,550,positif,4.0,6.166666666666667,Boys,1.0,100,55,295,1073,1070,565,550,positif
5.0,10005.0,6.916666666666667,Boys,1.0,168,40,362,1133,1170,545,530,negatif,5.0,6.916666666666667,Boys,1.0,247,44,441,1059,1010,519,520,negatif
6.0,10006.0,6.5,Boys,1.0,124,81,274,850,900,741,780,positif,6.0,6.5,Boys,1.0,76,62,318,857,900,692,710,positif
7.0,10007.0,6.083333333333333,Boys,1.0,198,48,405,875,900,572,560,negatif,7.0,6.083333333333333,Boys,1.0,159,44,544,935,900,596,590,negatif
8.0,10008.0,6.5,Boys,1.0,179,54,583,1134,1130,538,510,positif,8.0,6.5,Boys,1.0,205,45,686,1135,1170,526,530,positif
9.0,10009.0,8.916666666666666,Girls,2.0,109,58,523,1273,1330,645,650,positif,9.0,8.916666666666666,Girls,2.0,135,35,552,933,900,664,670,positif
10.0,10010.0,8.583333333333334,Girls,2.0,165,56,298,1104,1140,634,630,positif,10.0,8.583333333333334,Girls,2.0,150,57,411,1130,1160,667,630,positif
11.0,10011.0,8.083333333333334,Boys,2.0,123,28,411,1267,1170,613,600,,11.0,8.083333333333334,Boys,2.0,122,14,771,1351,1350,699,690,
12.0,10012.0,7.916666666666667,Boys,2.0,120,55,538,803,780,586,580,positif,12.0,7.916666666666667,Boys,2.0,114,24,575,971,930,542,520,positif
13.0,10013.0,8.75,Girls,2.0,119,42,314,676,900,795,810,positif,13.0,8.75,Girls,2.0,127,37,390,1075,1080,744,750,positif
14.0,10014.0,7.916666666666667,Boys,2.0,127,28,514,527,580,625,650,positif,14.0,7.916666666666667,Boys,2.0,139,11,496,1207,3420,568,560,positif
15.0,10015.0,8.5,Boys,2.0,138,43,221,833,770,523,500,negatif,15.0,8.5,Boys,2.0,116,30,325,1085,1100,631,660,negatif
16.0,10101.0,6.416666666666667,Girls,1.0,91,51,352,887,900,733,740,positif,16.0,6.416666666666667,Girls,1.0,74,40,242,1167,1020,579,580,positif
17.0,10102.0,6.416666666666667,Boys,1.0,202,48,217,684,730,566,530,positif,17.0,6.416666666666667,Boys,1.0,240,41,250,602,640,598,580,positif
18.0,10103.0,6.416666666666667,Girls,1.0,122,38,332,1016,950,547,530,positif,18.0,6.416666666666667,Girls,1.0,121,36,352,1113,1070,553,550,positif
19.0,10104.0,6.583333333333333,Girls,1.0,99,18,555,1413,1300,515,470,positif,19.0,6.583333333333333,Girls,1.0,118,17,372,1497,1440,450,480,positif
20.0,10105.0,6.666666666666667,Girls,1.0,90,39,604,1053,1050,591,580,positif,20.0,6.666666666666667,Girls,1.0,89,32,606,986,970,573,540,positif
21.0,10106.0,7.166666666666667,Boys,1.0,70,42,800,602,450,653,650,positif,21.0,7.166666666666667,Boys,1.0,63,36,901,1251,590,740,750,positif
